phrase,yake_score_lower_is_better
त्यांनी,0.0123
करत,0.0152
यांच्या,0.0151
त्यांना,0.0161
किंवा,0.0183
मुंबई,0.0184
त्यांच्या,0.018
अशा,0.0181
मध्ये,0.0183
असं,0.0198
आपण,0.0195
असेल,0.0212
यांना,0.0204
देखील,0.0206
असते,0.0207
करण्यासाठी,0.0221
मला,0.02
दाखल,0.0226
पोलीस,0.0203
देण्यात,0.0221
दरम्यान,0.0225
निर्णय,0.0206
कोरोना,0.0212
भारतीय,0.0221
दिला,0.0227
तयार,0.0229
पुन्हा,0.0237
त्यानंतर,0.024
आम्ही,0.0216
सध्या,0.0223
होतं,0.024
असल्याचे,0.0258
त्याला,0.0204
यावेळी,0.024
पवार,0.0252
प्रयत्न,0.0243
परंतु,0.0264
सुरु,0.0247
नाहीत,0.0245
केलं,0.0252
पोलिसांनी,0.0212
जास्त,0.0247
राज्य,0.0212
कारण,0.0249
टक्के,0.0189
पाणी,0.0222
रुपये,0.0229
जाते,0.0256
मुख्यमंत्री,0.0193
निर्णय घेतला,0.0196
च्या,0.0226
पूर्ण,0.0249
मुख्यमंत्री उद्धव ठाकरे,0.0142
पंतप्रधान नरेंद्र मोदी,0.0183
ठाकरे,0.0199
दिवस,0.0234
यांची,0.0237
करू,0.0246
इतर,0.0253
विविध,0.0254
निर्माण,0.0245
नवीन,0.0251
गेले,0.0261
असताना,0.0261
उद्धव ठाकरे,0.0198
मृत्यू,0.0215
गुन्हा दाखल,0.0217
मागणी,0.0229
विचार,0.0233
रोजी,0.0236
करणे,0.024
घेतला,0.0246
बंद,0.0266
होईल,0.0272
तुम्ही,0.0208
प्रश्न,0.0211
असतात,0.023
ठिकाणी,0.0233
मोदी,0.0236
चर्चा,0.0245
प्रत्येक,0.0248
नरेंद्र मोदी,0.0253
मोठ्या प्रमाणात,0.0214
पुढे,0.0228
सरकार,0.0228
तेव्हा,0.0232
नवी दिल्ली,0.0236
उत्तर,0.0237
नाव,0.0244
महिला,0.0255
मोठ्या,0.0278
मुख्यमंत्री देवेंद्र फडणवीस,0.0175
जिल्हा,0.0188
देवेंद्र फडणवीस,0.02
भूमिका,0.0211
जाहीर,0.0237
सरकारने,0.0237
शरद पवार,0.0238
लोक,0.0253
होऊ,0.0259
शक्यता,0.0264
खूप,0.0267
करा,0.0191
माझ्या,0.0234
होतो,0.0242
त्यात,0.0242
संख्या,0.0244
त्याने,0.0245
अधिकारी,0.0257
महाराष्ट्र,0.0257
उपलब्ध,0.0258
पुन्हा एकदा,0.026
केलेल्या,0.0266
मदत,0.0277
उपस्थित,0.0284
अध्यक्ष,0.0284
येईल,0.0286
प्रमाणात,0.0289
घेतली,0.0295
करण्याची,0.0299
अजित पवार,0.0155
पंतप्रधान,0.0164
राज्यात,0.0192
मुख्यमंत्री उद्धव,0.0194
रुग्ण,0.0221
करण्याचा निर्णय घेतला,0.0222
आमदार,0.0225
माजी,0.0228
कधी,0.0228
सोशल मीडियावर,0.023
पैसे,0.0231
तिला,0.0232
असतो,0.0234
करता,0.024
पुणे,0.0249
बाहेर,0.0253
पंतप्रधान नरेंद्र,0.0254
त्यांची,0.0255
घरी,0.0256
त्यांनी यावेळी,0.0257
घटना,0.0258
त्यांचे,0.0259
आलं,0.026
समोर,0.0262
वेळी,0.0288
शकते,0.0289
आरोप,0.0308
असल्याने,0.0309
राज ठाकरे,0.0117
देवेंद्र फडणवीस यांच्या,0.0149
धर्म,0.0159
उद्धव ठाकरे यांच्या,0.0172
पवार यांच्या,0.0173
पवार यांना,0.0174
पर्यंत,0.0182
राष्ट्रवादी,0.0191
जागा,0.02
मंत्री,0.0205
टक्के व्याज,0.0209
वेळ,0.0218
राहुल गांधी,0.0219
तिच्या,0.0219
देखील त्यांनी यावेळी,0.0221
राजकीय,0.0222
रुग्ण आढळले,0.0224
स्पष्ट,0.0226
प्रयत्न करत,0.0227
फडणवीस,0.0231
सकाळी,0.0231
नवी,0.0233
सर्वात,0.0235
वापर,0.0235
केंद्र,0.0238
सोशल,0.0241
खासदार,0.0241
आवश्यक,0.0242
मुंबई पुणे मुंबई,0.0242
करण्याचा,0.0243
जिल्ह्यातील,0.0244
एकूण,0.0244
दिसत,0.0246
वीज,0.0247
काळात,0.0248
आरोग्य,0.0252
मोठा,0.0255
चार,0.0255
मराठी,0.0257
कोणत्याही,0.0258
संजय,0.0261
काँग्रेस,0.0262
यासाठी,0.0262
त्यांचा,0.0263
सुरुवात,0.0277
करतात,0.028
पाच,0.0284
वाढ,0.0285
लोकांना,0.0291
तुमच्या,0.0295
सामना,0.0301
Big Billion Days,0.0003
