query,query_lang,claim_text,claimant,claim_date,claim_date_parsed,claim_year,claim_month,publisher_name,publisher_domain,review_title,review_url,review_date,rating,rating_clean,language,language_name,claim_char_len,claim_word_len,detected_script,has_claimant,data_source
UPSC,curated,Anjali Birla became an IAS officer without appearing for the UPSC exam.,Republic World,2024-06-30T00:00:00Z,2024-06-30 00:00:00+00:00,2024.0,6.0,Pudhari,pudhari.news,"Om birla: लोकसभा अध्यक्ष ओम बिर्ला ( om birla) यांची मुलगी अंजली बिर्ला केंद्रीय लोकसेवा आयोगाची ( UPSC) परीक्षा न देताच आयएएस अधिकारी झाल्‍या आहेत, असा दावा करणार्‍या पोस्‍ट सोशल मीडियावर व्‍हायरल होत आहेत.",https://pudhari.news/national/viral-posts-claim-daughter-of-lok-sabha-speaker-om-birla-anjali-birla-became-ias-without-taking-upsc-exam,2024-06-30T00:00:00Z,False,false,mr,Marathi,71,12,latin,True,google_factcheck_api
रिजल्ट,curated,"नाश्ता सोडल्यामुळे वजन होतं कमी? मांस वितळून बनता येतं बारीक? 100% दिसतो रिझल्ट, सत्य काय?",You Tube - Kinobody,,,,,Maharashtra Times,maharashtratimes.com,"Fact Check : नाश्ता सोडल्याने वजन होतं कमी? मांस वितळून बनता येतं बारीक? 100% दिसतो रिझल्ट, डॉक्टरने सांगितले सत्य",https://maharashtratimes.com/lifestyle-news/health-news/can-you-get-lean-and-fit-by-skipping-breakfast-doctor-revealed-the-truth/articleshow/116532002.cms,,Half true,unknown,mr,Marathi,90,15,devanagari,True,google_factcheck_api
भर्ती,curated,Maharashtra state banned government recruitment,Rohit Tayde,2019-05-27T00:00:00Z,2019-05-27 00:00:00+00:00,2019.0,5.0,Fact Crescendo Marathi,marathi.factcrescendo.com,महाराष्ट्र शानसनाने नुकतीच सरकारी नोकर भरतीवर बंदी आणली का? काय आहे सत्य?,https://marathi.factcrescendo.com/old-news-of-ban-on-maharashtra-government-recruitments-is-circulating-with-false-claim/,2019-05-29T00:00:00Z,FALSE,false,mr,Marathi,47,5,latin,True,google_factcheck_api
नौकरी,curated,"पंजाबी गायक आणि बॉलीवूड अभिनेते दिलजीत दोसांझच्या नावाने एका ट्विटचा स्क्रीनशॉट सोशल मीडियावर शेअर केला जात आहे, ज्यामध्ये लिहिले आहे की, “काश किसानों की तरह अगर पढ़े-लिखे लोग भी सड़कों पर आ जाते तो न एयरपोर्ट बिकता, न रेलवे स्टेशन, न नौकरी जाती, न जीडीपी गिरती।”",FB User,2022-01-13T00:00:00Z,2022-01-13 00:00:00+00:00,2022.0,1.0,विश्वास न्यूज,vishvasnews.com,"Fact Check: Tweet going viral in the name of Diljit Dosanjh is fake. - Fact Check: दिलजीत दोसांझने हे वक्तव्य केले नाही, त्यांच्या नावाने व्हायरल होत असलेले हे ट्विट खोटे आहे",https://www.vishvasnews.com/marathi/viral/fact-check-tweet-going-viral-in-the-name-of-diljit-dosanjh/,2022-01-13T00:00:00Z,FALSE,false,mr,Marathi,263,46,devanagari,True,google_factcheck_api
RBI,curated,RBI ने ३५० रुपयांची नोट जारी केल्याचा फोटो व्हायरल,Social Media,2025-01-18T13:28:00Z,2025-01-18 13:28:00+00:00,2025.0,1.0,Maharashtra Times,maharashtratimes.com,Fact Check: RBI ने २०० रुपयांनंतर ३५० रुपयांच्या नोटाही जारी केल्या? व्हायरल फोटोचं सत्य काय?,https://maharashtratimes.com/india-news/fact-check-viral-claim-did-rbi-issue-350-note-know-truth/articleshow/117884158.cms,,False,false,mr,Marathi,50,9,devanagari,True,google_factcheck_api
RBI,curated,RBI not introducing 5000 notes,Social Media,2025-01-06T00:00:00Z,2025-01-06 00:00:00+00:00,2025.0,1.0,Esakal,esakal.com,"Fact Check: आरबीआय 5000 रुपयांची नोट चलनात आणणार नाही, सोशल मीडियात खोटा दावा व्हायरल",https://www.esakal.com/viral-satya/rbi-not-introducing-5000-note-fake-claims-viral-on-social-media-ymk86,2025-01-06T00:00:00Z,FALSE,false,mr,Marathi,30,5,latin,True,google_factcheck_api
RBI,curated,RBI ने केली ५००० रुपयांच्या नोटा जारी करण्याची घोषणा केल्याचा दावा.,facebook User,2024-12-31T00:00:00Z,2024-12-31 00:00:00+00:00,2024.0,12.0,Marathi News,lokmat.com,Fact Check : RBI ने केली ५००० रुपयांच्या नोटा जारी करण्याची घोषणा?; जाणून घ्या नेमकं 'सत्य',https://www.lokmat.com/fact-check/fact-check-no-rbi-has-not-announced-the-release-of-rs-5000-banknotes-a-a597/,2025-01-06T12:41:11Z,चूक,unknown,mr,Marathi,67,11,devanagari,True,google_factcheck_api
RBI,curated,भारतीय क्रिकेटमधील योगदानाबद्दल महेंद्रसिंह धोनीचा सन्मान करण्यासाठी आरबीआय ७ रुपयांचे नाणे जारी करत आहे.,Social Media User,2024-11-18T00:00:00Z,2024-11-18 00:00:00+00:00,2024.0,11.0,Lokmat.com,lokmat.com,Fact Check: 'जर्सी नं. 7' धोनीच्या सन्मानार्थ RBI ७ रुपयांचं नाणं आणणार?; व्हायरल दाव्यामागील सत्य वेगळंच,https://www.lokmat.com/fact-check/fact-check-the-reserve-bank-of-india-has-not-issued-a-new-7-coin-honouring-cricketer-mahendra-singh-dhoni-a-a941/,2024-11-18T06:50:27Z,चूक,unknown,mr,Marathi,105,14,devanagari,True,google_factcheck_api
RBI,curated,Indian Government secretly transferred RBI's 200 tonnes of gold overseas,राष्ट्रवादी पुन्ह,2019-05-03T00:00:00Z,2019-05-03 00:00:00+00:00,2019.0,5.0,Fact Crescendo Marathi,marathi.factcrescendo.com,GOLD FACTS: मोदी सरकारने लपूनछपून 268 टन सोनं परदेशात गहाण ठेवले का?,https://marathi.factcrescendo.com/did-the-indian-government-secretly-transport-200-tonnes-of-gold-form-rbi/,2019-05-04T00:00:00Z,Fact Crescendo Rating - FALSE,unknown,mr,Marathi,72,10,latin,True,google_factcheck_api
RBI,curated,"आरबीआय वापस घेणार आहे १०० रूपये, १० रुपये आणि ५ रुपयांच्या जुना नोटा",Khidmati Safar,2021-01-29T18:34:30Z,2021-01-29 18:34:30+00:00,2021.0,1.0,विश्वास न्यूज,vishvasnews.com,"Fact Check: RBI is not taking back the notes of 100, 10 and 5 Rupees, viral post is fake. - Fact Check: आरबीआय नाही वापस घेणार आहे १०० रूपये, १० रुपये आणि ५ रुपयांच्या जुना नोटा, व्हायरल पोस्ट खोटी आहे",https://www.vishvasnews.com/marathi/politics/fact-check-rbi-is-not-taking-100-10-and-5-rupee-notes-back-from-circulation-viral-post-is-fake/,2021-01-29T18:34:30Z,False,false,mr,Marathi,68,13,devanagari,True,google_factcheck_api
