phrase,yake_score_lower_is_better
સાથે,0.0019
કરવા,0.0094
કહ્યું,0.0129
લોકો,0.013
કારણે,0.0144
મળી,0.0161
પોલીસ,0.0154
આવ્યા,0.0162
કરતા,0.0184
આવ્યો,0.0171
તેમના,0.0174
કામ,0.0169
કરીને,0.018
જેમાં,0.018
તેમણે,0.0173
શરૂ,0.0186
અન્ય,0.0189
તથા,0.0172
કોરોના,0.0171
કરો,0.0184
પોતાના,0.0192
વાત,0.0189
તમામ,0.019
દરમિયાન,0.0181
તેમજ,0.0186
તરીકે,0.0185
જોવા,0.0176
તેમણે કહ્યું,0.0167
આવશે,0.0198
થશે,0.0197
જોવા મળી,0.0135
સાથે કામ,0.0155
આવ્યું,0.0193
વચ્ચે,0.0196
ત્રણ,0.0205
ઉપયોગ,0.0191
તેમની,0.0205
સાથે વાત,0.0169
વર્ષ,0.0178
પહેલા,0.0199
સમય,0.0209
લોકો સાથે,0.015
કેસ,0.0173
કારણ,0.02
દિવસ,0.0207
આપવામાં,0.0201
કેટલાક,0.0206
કરવાની,0.0216
ટકા,0.0158
સરકાર,0.0176
પોતાની,0.0192
રહેશે,0.0218
સાથે કામ કરવા,0.0093
તમારી,0.017
તેમની સાથે,0.0192
શકો,0.0214
સાથે વાત કરતા,0.0167
નવા,0.0173
ખાસ કરીને,0.0176
ભારતીય,0.0208
પ્રથમ,0.0223
સાથે લગ્ન કરવા,0.0138
પાણી,0.0161
સાથે કામ કરતા,0.0169
પોલીસે,0.0207
ખાતે,0.0213
ભારત,0.0214
સાથે વાત કરવા,0.011
સાથે કામ કરવાની,0.0163
આવેલા,0.0175
બંધ,0.0208
લાખ,0.0212
સાથે વાત કરો,0.0161
પટેલ,0.0167
જેના કારણે,0.0187
હાથ,0.0201
કામ કરવા,0.0211
એટલે,0.0216
મુજબ,0.022
તમારી સાથે,0.0178
કરશે,0.0183
શરૂ કરવા,0.0191
લઈને,0.0197
સાથે લગ્ન,0.0198
રૂપિયા,0.0206
ખાસ,0.0209
શકાય,0.0216
વધારે,0.0249
સમયે,0.0253
ઝીણી ઝીણી ઝીણી,0.0049
સાથે સાથે નવા,0.0067
સાથે સાથે પોતાની,0.0077
સાથે જોવા મળી,0.0109
શ્રી,0.0168
જરૂર,0.0173
તપાસ,0.0175
જરૂરી,0.0179
નવી,0.0182
અમદાવાદ,0.0182
નામ,0.0183
જાહેર,0.0184
તેમની સાથે વાત,0.0186
સાથે શરૂ કરો,0.0188
સાથે શરૂ,0.0189
રાજકોટ,0.0192
આપવામાં આવશે,0.0204
કરવાની જરૂર,0.0206
કરવા સાથે,0.0207
કુલ,0.0208
દૂર,0.021
સામાન્ય,0.0212
બીજી,0.0228
ઘણા,0.0233
આવેલ,0.0233
મોત,0.0237
કરોડ,0.0254
સાથે સાથે તેમના,0.0052
સાથે સાથે અન્ય,0.0066
લોકો સાથે કામ,0.0072
હોવાની સાથે સાથે,0.009
લોકો પોલીસ સાથે,0.0107
સાથે સાથે કહ્યુ,0.0111
સાથે સાથે કેટલીક,0.0118
રોડ,0.0131
જોવા મળે,0.0134
સરકાર સાથે,0.0135
અન્ય લોકો સાથે,0.0154
સાથે ઉપયોગ કરવા,0.0159
સાથે જોવા,0.017
લોકો સાથે વાત,0.017
તમારી સાથે વાત,0.0171
પ્રેમ,0.0173
રોજ,0.0174
સાથે વાત કરીને,0.0175
અન્ય મહિલા સાથે,0.0178
સાથે કરવા,0.0179
મારી,0.0181
પોઝિટિવ કેસ,0.0188
સાથે વાત કરવાની,0.0189
મોદી સાથે,0.0189
લોકોને,0.0191
સાથે ત્રણ,0.0192
અલગ,0.0192
પડે,0.0195
દિવસે તમામ સાથે,0.0195
મોટા,0.0204
વિવિધ,0.0206
તમારી સાથે આવશે,0.0207
તેમની સાથે કામ,0.021
વિસ્તારમાં,0.0216
આપવામાં આવ્યું,0.0218
ભારે,0.022
સાથે મળીને,0.0224
સાથે વાતચીત કરવા,0.0225
સરકારે,0.0228
સાથે વરસાદ,0.0231
સોશિયલ મીડિયા,0.0232
દૂર કરવા,0.0237
ઉપરાંત,0.0241
સાથે મળી,0.0241
મળશે,0.0242
મોદી,0.0245
કામ શરૂ કરવા,0.0247
સાથે બેઠક,0.0256
પોતાના હાથ સાથે,0.0257
દેશમાં,0.0258
મળે,0.0262
સતત,0.0266
જીવાણુ નાશકક્રિયા,0.0007
ચેમ્બર Arch,0.001
જીવાણુ,0.0018
છેજીવાણુ નાશકક્રિયા,0.0018
સાથે સાથે સાથે,0.0023
નેતા Jairam Ramesh,0.0023
Arch ફ આર્કિટેક્ટ્સ,0.0026
નાશકક્રિયા,0.0026
પોલેન્ડના ચેમ્બર Arch,0.0027
સાથે શારીરિક સંબંધ,0.0031
તેમણે સાથે સાથે,0.0034
JioPhone Next,0.004
Arch,0.004
કન્ડીશનીંગ જીવાણુ નાશકક્રિયા,0.0042
જીવાણુ નાશકક્રિયાજીવાણુ નાશકક્રિયા,0.0046
વોડાફોન ડિજિલિંકનું વોડાફોન,0.0047
Jairam Ramesh,0.0048
સાથે સાથે તમારી,0.0048
તમારી પસંદની સાથે,0.0049
જીવાણુ નાશકક્રિયા છેજીવાણુ,0.005
મેઈન રોડ,0.005
સાથે કંપની સાથે,0.0053
નાશકક્રિયા છેજીવાણુ નાશકક્રિયા,0.0053
મહત્વપૂર્ણ છેજીવાણુ નાશકક્રિયા,0.0054
સાથે સાથે તમામ,0.0055
સાથે સાથે કેન્દ્ર,0.0055
કરવાની સાથે સાથે,0.0055
રાધિકા મર્ચન્ટ ADF,0.0057
મર્ચન્ટ ADF ફુડ્સ,0.0057
ADF ફુડ્સ લિમિટેડના,0.0057
સાથે શારીરિક,0.0059
થશે તથા અમદાવાદ,0.0059
