query,query_lang,claim_text,claimant,claim_date,claim_date_parsed,claim_year,claim_month,publisher_name,publisher_domain,review_title,review_url,review_date,rating,rating_clean,language,language_name,claim_char_len,claim_word_len,detected_script,has_claimant,data_source
NEET,curated,"ભાજપ સાંસદ કંગનાએ કહ્યું કે હિન્દુઓ ખતરામાં છે, આપણે NEET પેપર લીક કેસને બદલે તેમના પર ધ્યાન કેન્દ્રિત કરવું જોઈએ.",FB User Rizwan Hatimm,2026-06-04T11:12:24Z,2026-06-04 11:12:24+00:00,2026.0,6.0,,vishvasnews.com,Fact Check: NEET પેપર લીક કેસમાં કાર્યવાહી અટકાવવા અને હિન્દુઓ પર ધ્યાન કેન્દ્રિત કરવા અંગે કંગના રનૌતનું નિવેદન ખોટું છે,https://www.vishvasnews.com/gujarati/entertainment/fact-check-kangana-ranauts-statement-about-stalling-action-and-focusing-on-hindus-in-neet-paper-leak-case-is-false/,2026-06-04T11:12:24Z,False,false,gu,Gujarati,114,20,gujarati,True,google_factcheck_api
UPSC,curated,લોકસભાના સ્પીકર ઓમ બિરલાની પુત્રી અંજલિએ UPSC પરીક્ષા વગર પરીક્ષા પાસ કરી,ફેસબુક યૂઝર અભિષેક સિંહ કુશવાહ,2023-04-17T09:20:05Z,2023-04-17 09:20:05+00:00,2023.0,4.0,,vishvasnews.com,Fact Check : ઓમ બિરલાની પુત્રી અંજલીને લઈને ફરીથી વાયરલ થઈ નકલી પોસ્ટ - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-om-birla-daughter-post-about-ias-going-viral-with-fake-claim/,2023-04-17T09:20:05Z,False,false,gu,Gujarati,73,12,gujarati,True,google_factcheck_api
नौकरी,curated,"રાજસ્થાનના બીજેપી જાલોર લોકસભા વિસ્તારના સાંસદ દેવજી પટેલ છે. જુઓ હવે મોંઘવારી,બેરોજગારી, સરકારી નોકરી મળે ના મળે. મોંઘવારી ચરમસીમા પર છે, બેરોજગારી વધી રહી છે, ભાજપા કહી રહી છે. સહુનો સાથ સહુનો વિકાસ પરંતુ, હવે આને શું કહેવું",અખિલેશ યાદવ કે દિવાને,2022-09-04T08:34:39Z,2022-09-04 08:34:39+00:00,2022.0,9.0,,vishvasnews.com,Fact Check : ભાજપ સાંસદની છબી ખરાબ કરવા પાકિસ્તાનના વીડિયોનો ઉપયોગ કરવામાં આવતા ચકચાર - Vishvas News,https://www.vishvasnews.com/gujarati/viral/fact-check-video-of-pakistan-viral-with-fake-claim-as-bjp-rajasthan-mp/,2022-09-04T08:34:39Z,False,false,gu,Gujarati,226,38,gujarati,True,google_factcheck_api
नौकरी,curated,રતન ટાટાએ જેએનયૂના વિદ્યાર્થીઓને નોકરી ન આપવાનો નિર્ણય લીધો.,ફેસબુક યૂઝરૃ અર્જુન ગુર્જર,2022-09-23T12:15:48Z,2022-09-23 12:15:48+00:00,2022.0,9.0,,vishvasnews.com,fact check fake statement of ratan tata about jnu is gettting viral- ફેક્ટ ચેક: શું રતન ટાટાએ જેએનયૂના વિદ્યાર્થીઓને નોકરી આપવાની ના પાડી? જાણો વાયરલ પોસ્ટનું સત્ય,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-statement-of-ratan-tata-about-jnu-is-gettting-viral/,2022-09-23T12:15:48Z,Half true,unknown,gu,Gujarati,60,9,gujarati,True,google_factcheck_api
RBI,curated,"Old notes of Rs 100, 10 and 5 may go out of circulation after March: RBI",Khidmati Safar,2021-02-27T07:52:25Z,2021-02-27 07:52:25+00:00,2021.0,2.0,,vishvasnews.com,"Fact Check: આરબીઆઈ 100 રૂપિયા, 10 રૂપિયા અને 5 રૂપિયાની જૂની નોટો પાછા લઈ રહ્યા નથી, વાયરલ પોસ્ટ નકલી છે - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-no-rbi-is-not-going-to-stop-the-circulation-of-rs-100-rs-10-and-rs-5-notes/,2021-02-27T07:52:25Z,False,false,gu,Gujarati,72,16,latin,True,google_factcheck_api
PhonePe,curated,તમે જીત્યા 999 INR... Phonepe સ્ક્રેચ કૂપન...અભિનંદન,ફેસબુક યુઝર- Pannorra,2024-07-17T05:50:52Z,2024-07-17 05:50:52+00:00,2024.0,7.0,,vishvasnews.com,Fact Check: PhonePe અને Jioના નામે કેશબેક જીતવાનો દાવો કરતી વાયરલ લિંક ફેક-Fake viral link claiming to win cashback in the name of PhonePe and Jio,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-viral-link-claiming-to-win-cashback-in-the-name-of-phonepe-and-jio/,2024-07-17T05:50:52Z,False,false,gu,Gujarati,52,7,gujarati,True,google_factcheck_api
WhatsApp,curated,ઓલ ઈન્ડિયા સિમ કાર્ડ whatsapp imo લકી ડ્રો,Facebook User,2021-12-14T00:00:00Z,2021-12-14 00:00:00+00:00,2021.0,12.0,,vishvasnews.com,"Fact Check : 'કૌન બનેગા કરોડપતિ'ના નામે ફેક મેસેજ વાયરલ થઈ રહ્યો છે, સાવચેત રહો - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-%E0%AA%95%E0%AB%8C%E0%AA%A8-%E0%AA%AC%E0%AA%A8%E0%AB%87%E0%AA%97%E0%AA%BE-%E0%AA%95%E0%AA%B0%E0%AB%8B%E0%AA%A1%E0%AA%AA%E0%AA%A4%E0%AA%BF%E0%AA%A8%E0%AA%BE-%E0%AA%A8%E0%AA%BE%E0%AA%AE/,2021-12-14T00:00:00Z,False,false,gu,Gujarati,42,8,gujarati,True,google_factcheck_api
Facebook,curated,ફેસબુક યુઝર મનીષ પટેલ,"લેટર અનુસાર, ભાજપે શિવરાજસિંહને બનાવ્યા મુખ્યમંત્રી",2023-12-13T06:44:59Z,2023-12-13 06:44:59+00:00,2023.0,12.0,,vishvasnews.com,Fact Check: મધ્યપ્રદેશના મુખ્યમંત્રીના નામે ફેક લેટર વાયરલ-Fact Check: Fake letter in the name of Madhya Pradesh Chief Minister goes viral,https://www.vishvasnews.com/gujarati/viral/fact-check-fake-letter-in-the-name-of-madhya-pradesh-chief-minister-goes-viral/,2023-12-13T06:44:59Z,False,false,gu,Gujarati,21,4,gujarati,True,google_factcheck_api
Facebook,curated,ફેસબુક યુઝર Johar Uddin,Jio ફ્રીમાં 999 રૂપિયા આપી રહ્યું છે,2022-12-30T07:05:37Z,2022-12-30 07:05:37+00:00,2022.0,12.0,,vishvasnews.com,"ફેક્ટ ચેક : Jio નથી આપી રહ્યું ફ્રીમાં કોઈ પૈસા, આવા મેસેજ પર વિશ્વાસ ન કરો - Vishvas News",https://www.vishvasnews.com/gujarati/society/fact-check-jio-is-not-giving-free-scheme-post-is-fake/,2022-12-30T07:05:37Z,False,false,gu,Gujarati,23,4,gujarati,True,google_factcheck_api
Facebook,curated,"ફેસબુક યુઝર રાવ પંકજે કેપ્શન સાથે વાયરલ તસવીર શેર કરી, ""માઈનસ 10 ડિગ્રી સેન્ટિગ્રેડમાં, કેદારનાથ યાત્રા બંધ થયા પછી પણ કેદારનાથ ધામના દરબારમાં એક સાધુ મહારાજ તપસ્યા કરી રહ્યા છે.. #હરહરમહાદેવ ..સત્ય સનાતન ધર્મ કી જય.",Rao Pankaj,2022-11-18T10:18:26Z,2022-11-18 10:18:26+00:00,2022.0,11.0,,vishvasnews.com,"ફેક્ટ ચેકઃ આ તસવીર કેદારનાથમાં તપસ્યા કરી રહેલા સાધુની નથી, વાયરલ દાવો ખોટો છે - Vishvas News",https://www.vishvasnews.com/gujarati/viral/fact-check-viral-photo-saint-doing-penance-is-not-from-kedarnath-claim-is-fake/,2022-11-18T10:18:26Z,False,false,gu,Gujarati,216,36,gujarati,True,google_factcheck_api
