claim_text,claimant,claim_date,review_date,rating,publisher_domain,review_title,review_url,language,language_name,data_source,extraction_method
पाकिस्तानसाठी हेरगिरी केल्याच्या आरोपाखाली अटक केलेल्या ज्योती मल्होत्राचा भाजपची टोपी घातलेला फोटो.,,,"May 21, 2025",Altered Photo/Video,newschecker.in,हेरगिरीच्या आरोपाखाली अटक करण्यात आलेल्या ज्योती मल्होत्राचा भाजपची टोपी घातलेला व्हायरल फोटो एआय निर्मित आहे,https://newschecker.in/mr/fact-checks-mr/ai-deepfake-2/ai-image-of-jyoti-malhotra,mr,Marathi,newschecker_scrape,html_fallback
"जून महिन्याच्या पहिल्या महिन्यात अनेक दावे सोशल मीडियावर व्हायरल झाले. कोविडसाठी अल्कधर्मी आहार, भगवान रामाचे धनुष्य ते लग्नानंतर मिळणार अडीच लाख पर्यंतचे दावे करण्यात आले. बिहारमध्ये सिंदूर वाटणाऱ्या भाजप कार्यकर्त्यांना महिलांनी मारहाण केली, असा दावा करण्यात आला. अल्कधर्मी पदार्थांचे सेवन केल्याने तुमचे कोविडपासून संरक्षण होईल, असा दावा करण्यात आला. भगवान रामाचे धनुष्य समुद्रात सापडले, असा दावा करण्यात आला. डॉ. बाबासाहेब आंबेडकर एकात्मिक आंतरजातीय विवाह योजनेतून विवाहित जोडप्यास अडीच लाख रुपये मिळणार, असा दावा करण्यात आला. ५०० रुपयांच्या नोटांची छपाई बंद करण्यात आली आहे आणि मार्च २०२६ नंतर ५०० रुपयांच्या नोटा चालणार नाहीत, असा दावा करण्यात आला. या आणि इतर दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"Jun 6, 2025",,newschecker.in,"Weekly Wrap: कोविडसाठी अल्कधर्मी आहार, भगवान रामाचे धनुष्य ते लग्नानंतर मिळणार अडीच लाख पर्यंतच्या दाव्यांचे फॅक्ट चेक",https://newschecker.in/mr/fact-checks-mr/ai-deepfake-2/weekly-wrap-viral-claims-first-week-june-25,mr,Marathi,newschecker_scrape,html_fallback
पहलगाममधील दहशतवादी हल्ल्याचे छायाचित्र.,,,"Apr 24, 2025",Altered Photo/Video,newschecker.in,पहलगाममधील दहशतवादी हल्ल्याशी जोडणारा हा व्हायरल फोटो एआय निर्मित आहे,https://newschecker.in/mr/fact-checks-mr/crime-mr/ai-image-of-pahalgam-attack,mr,Marathi,newschecker_scrape,html_fallback
लातूर जिल्ह्यात महाशिवरात्रीला युवकास लोखंडी सळईने मारहाण झाली.,,,"Mar 7, 2025",Missing Context,newschecker.in,जालना जिल्ह्यात घडलेल्या मारहाणीचा व्हिडीओ लातूरचा म्हणून व्हायरल,https://newschecker.in/mr/fact-checks-mr/crime-mr/incident-of-jalana-shared-as-of-latur,mr,Marathi,newschecker_scrape,html_fallback
महिलेने आत्मदहन केल्याचा व्हिडिओ लखनऊमधील अलीकडील घटनेचा आहे.,,,"Apr 9, 2025",Partly False,newschecker.in,लखनौमध्ये २०२० मध्ये झालेल्या महिलेच्या आत्मदहनाचा व्हिडिओ अलीकडील घटना म्हणून होतोय शेअर,https://newschecker.in/mr/fact-checks-mr/crime-mr/video-woman-self-immolating-in-lucknow,mr,Marathi,newschecker_scrape,html_fallback
"ऑक्टोबर महिन्याच्या दुसऱ्या आठवड्यातही अनेक फेक दावे करण्यात आले. शोमध्ये अभिनेत्री राणी मुखर्जीने राजदीप सरदेसाईला फटकारले, असा दावा करण्यात आला. भारताविरुद्धच्या सामन्यादरम्यान पाकिस्तान क्रिकेट संघाची कर्णधार फातिमा सना मैदानावर डिओडोरंट फवारताना दिसत असल्याचा दावा करण्यात आला. केंद्रीय गृहमंत्री अमित शहा यांच्या कार्यालयाने त्यांना तुरुंगात असलेल्या आंदोलक सोनम वांगचुकवर “पाकिस्तानी एजंट” असल्याचा आरोप करण्याचे निर्देश दिले होते असे लेहचे एडीसी गुलाम मुहम्मद हे कबूल करत आहेत, असा दावा करण्यात आला. अभिनेता अक्षय कुमार यांनी पवन सिंह यांच्यावर टीका केली, असा दावा करण्यात आला. मुंबईतील बांद्रा-कुर्ला कॉम्प्लेक्स परिसरात रस्ता कोसळला, असा दावा करण्यात आला. या आणि इतर दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"Oct 11, 2025",,newschecker.in,"Weekly Wrap: राणी मुखर्जीने फटकारले, पाकिस्तानी कर्णधाराचा डिओडोरंट स्प्रे ते मुंबईतील रस्ता कोसळला पर्यंतच्या दाव्यांचे फॅक्ट चेक",https://newschecker.in/mr/fact-checks-mr/crime-mr/viral-claim-second-week-oct-25,mr,Marathi,newschecker_scrape,html_fallback
"डिसेंबर महिन्याचा पहिला आठवडाही अनेक फेक दाव्यांनी गाजला. शालेय पुस्तकांवर कर बसविणारा पहिला देश भारत ठरला आहे, असा दावा करण्यात आला. कर्नाटकातील मुख्यमंत्रीपदाच्या रस्सीखेच दरम्यान, आंध्र प्रदेशचे मुख्यमंत्री चंद्राबाबू नायडू यांनी अलीकडेच काँग्रेस नेते डीके शिवकुमार यांची भेट घेतली, असा दावा करण्यात आला. दिल्लीमध्ये लिव्ह-इन रिलेशनशिपमध्ये राहणाऱ्या एका हिंदू महिलेची तिच्या मुस्लिम जोडीदाराने हत्या केली, असा दावा करण्यात आला. भारतीय लष्कराचे सैनिक पाकिस्तानी सैन्याशी लढण्यास घाबरत आहेत आणि घरी परतण्याची भीक मागत आहेत, असा दावा करण्यात आला. बीएसएफच्या जम्मू आणि काश्मीरच्या आयजींनी दहशतवादविरोधी कारवाईत आम्हाला काहीही यश मिळालेले नाही असा खुलासा केल्याचा दावा करण्यात आला. या आणि इतर दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"Dec 6, 2025",,newschecker.in,Weekly Wrap: शालेय पुस्तकांवर कर ते हिंदू महिलेची तिच्या मुस्लिम जोडीदाराकडून हत्या पर्यंतच्या दाव्यांचे फॅक्ट चेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/viral-claims-first-week-dec-25,mr,Marathi,newschecker_scrape,html_fallback
"मे महिन्याचा दुसरा आठवडा ऑपरेशन सिंदुरशी जोडलेल्या फेक दाव्यांनी गाजला. एअर स्ट्राईक नंतर पाकिस्तानात सैर भैर पळतानाचा व्हिडीओ, असा दावा करण्यात आला. पाकिस्तानने भारतीय युद्ध विमानांना लक्ष्य केले, असा दावा करण्यात आला. भारताने केलेल्या हल्ल्यानंतर पाकिस्तानची परिस्थिती, असा दावा करण्यात आला. पाकिस्तानी पायलटला भारतीयांनी जिवंत पकडले, असा दावा करण्यात आला. ऑपरेशन सिंदूर नंतर बलुचिस्तानात आनंदोत्सव साजरा करतानाचा व्हिडीओ असा दावा करण्यात आला. या आणि इतर प्रमुख दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"May 10, 2025",,newschecker.in,Weekly Wrap: ऑपरेशन सिंदुरशी जोडलेल्या फेक दाव्यांचे फॅक्ट चेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-operation-sindoor,mr,Marathi,newschecker_scrape,html_fallback
"एप्रिल महिन्याचा चौथा आठवडा पहलगाम दहशतवादी हल्ल्याशी संबंधीत दाव्यांनी गाजला. दहशतवादी हल्ल्यानंतर नियंत्रण रेषेवर भारत-पाकिस्तानमध्ये गोळीबार झाला, असा दावा करण्यात आला. एक व्हिडिओ शेयर करीत पहलगाम दहशतवादी हल्ल्यात शहीद झालेल्या लेफ्टनंट विनय नरवाल आणि त्यांच्या पत्नी हिमांशी यांचा आहे, असा दावा करण्यात आला. पहलगाममधील दहशतवादी हल्ल्याचे छायाचित्र, असा दावा एका चित्राच्या माध्यमातून करण्यात आला. पहलगाम दहशतवादी हल्ल्यातील मृतांची खरी यादी, असा दावा करण्यात आला. पहलगाम दहशतवादी हल्ल्यात सहभागी असलेल्या दहशतवाद्याचा फोटो, असा दावा करण्यात आला. या आणि इतर प्रमुख दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये पाहता येतील.",,,"Apr 26, 2025",,newschecker.in,Weekly Wrap: पहलगाम दहशतवादी हल्ल्याशी संबंधीत दाव्यांचे फॅक्ट चेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-viral-claims-fourth-week-april-25,mr,Marathi,newschecker_scrape,html_fallback
"मार्च महिन्याचा चौथा आठवडा नागपूर हिंसाचार आणि रमजानशी जोडलेल्या दाव्यांनी गाजला. समाजवादी पक्षाच्या कार्यकाळात उत्तर प्रदेश पोलिसांमार्फत पोलिस ठाण्यात इफ्तार पार्टी आयोजित करण्यात आली, असा दावा करण्यात आला. ती ‘कबर’ औरंगजेबाच्या शौर्याचे प्रतीक असे संजय राऊत म्हणाले, असा दावा करण्यात आला. नागपुरात अलिकडेच झालेल्या जातीय दंगलीनंतर नागपूरमध्ये भव्य भगवा रॅली काढण्यात आली, असा दावा करण्यात आला. अलिकडच्या जातीय दंगलींनंतर नागपूरमधील हिंदूंनी मुस्लिमांवर बहिष्कार घालण्याचा ठराव केला, असा दावा करण्यात आला. नागपूर हिंसाचाराच्या वेळी आरएसएस नेते इंद्रेश कुमार इफ्तार पार्टी करत होते, असा दावा करण्यात आला. या आणि इतर प्रमुख दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"Mar 22, 2025",,newschecker.in,Weekly Wrap: नागपूर हिंसाचार आणि रमजानशी जोडलेल्या दाव्यांचे फॅक्ट चेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-viral-claims-fourth-week-march-25,mr,Marathi,newschecker_scrape,html_fallback
"मार्च महिन्याचा पहिला आठवडाही विविध फेक पोस्टनी चर्चेत राहिला. एका मुस्लिम पुरूषाने त्याच्या पुतणीशी लग्न केले, असा दावा करण्यात आला. बंगालमध्ये अक्रम नावाच्या एका मुस्लिम पुरूषाने लव्ह जिहादच्या नावाखाली एका हिंदू मुलीची हत्या केली आणि तिचा मृतदेह सूटकेसमध्ये भरला, असा दावा करण्यात आला. छत्रपतींचा केलेला अपमान चिल्लर असे मुख्यमंत्री देवेंद्र फडणवीस म्हणाले, असा दावा करण्यात आला. ९८ व्या वर्षी ज्येष्ठ अभिनेत्री वैजयंतीमाला नृत्य करतानाचा व्हिडीओ, असा दावा करण्यात आला. लातूर जिल्ह्यात महाशिवरात्रीला युवकास लोखंडी सळईने मारहाण झाली, असा दावा करण्यात आला. या आणि इतर प्रमुख दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"Mar 8, 2025",,newschecker.in,"Weekly Wrap: काकाचे पुतणीशी लग्न, पश्चिम बंगालमध्ये लव्ह जिहाद ते छत्रपतींचा अपमान चिल्लर पर्यंतच्या दाव्यांचे फॅक्टचेक",https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-viral-claims-of-first-week-march-25,mr,Marathi,newschecker_scrape,html_fallback
"मे महिन्याच्या तिसऱ्या आठवड्यात भारत पाकिस्तान संघर्षाशी संबंधित असंख्य दावे झाले. पाकिस्तानच्या हल्ल्यात नरेंद्र मोदी स्टेडियम उद्ध्वस्त झाले, असा दावा करण्यात आला. पाकिस्तानच्या नूरखान एअरबेसला भारतीय सैन्याने लक्ष्य केले, असा दावा करण्यात आला. तुरुंगात असलेले पाकिस्तानचे माजी पंतप्रधान इम्रान खान यांचे न्यायालयीन कोठडीत निधन झाले, असा दावा करण्यात आला. भारत-पाक संघर्षावर मौन बाळगल्याबद्दल महाराष्ट्र पोलिसांची बॉलीवूड कलाकारांवर टीका, असा दावा करण्यात आला. कर्नाटकातील बेळगावमध्ये कर्नल सोफिया कुरेशी यांच्या घराची आरएसएस सदस्यांनी तोडफोड केली असा दावा करण्यात आला. या आणि इतर प्रमुख दाव्यांचे फॅक्ट चेक या रिपोर्टमध्ये वाचता येतील.",,,"May 17, 2025",,newschecker.in,Weekly Wrap: भारत पाकिस्तान संघर्षाशी संबंधित दाव्यांचे फॅक्ट चेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-viral-claims-third-week-may-25,mr,Marathi,newschecker_scrape,html_fallback
"हा व्हिडिओ अमृतसरचा आहे, जिथे वकील आणि स्थानिक लोकांनी आंबेडकरांचा पुतळा तोडणाऱ्या व्यक्तीला मारहाण केली.",,,"Jan 30, 2025",False,newschecker.in,हा व्हिडिओ अमृतसरमध्ये आंबेडकरांचा पुतळा फोडणाऱ्या तरुणाला झालेल्या मारहाणीचा नाही,https://newschecker.in/mr/fact-checks-mr/crime-mr/ambedkar-statue-vandalism,mr,Marathi,newschecker_scrape,html_fallback
Claimबाबा सिद्दीकी यांच्या हत्येनंतर मुंबईत देवेंद्र फडणवीस यांचे पोस्टर लावण्यात आले असून त्यावर ‘बदला पुरा’ असे लिहिले आहे.Factबदलापूर बलात्कार प्रकरणातील आरोपी अक्षय शिंदे याच्या एन्काउंटरनंतर २३ सप्टेंबर रोजी हे पोस्टर्स लावण्यात आले होते.,,,"Oct 17, 2024",Missing Context,newschecker.in,फॅक्ट चेक: बाबा सिद्दीकी यांच्या हत्येनंतर देवेंद्र फडणवीस यांचे “बदला पुरा” वाले पोस्टर्स मुंबईत लावण्यात आले? येथे जाणून घ्या सत्य,https://newschecker.in/mr/fact-checks-mr/crime-mr/baba-siddique-devendra-fadanvis,mr,Marathi,newschecker_scrape,html_fallback
"Claimबेंगळुरू येथील महालक्ष्मी हत्याकांडातील मुख्य आरोपी अश्रफ आहे.Factनाही, महालक्ष्मीची हत्या तिचा प्रियकर मुक्ती रंजन रे याने केली होती, त्यानेही नंतर आत्महत्या केली.",,,"Oct 4, 2024",False,newschecker.in,"फॅक्ट चेक: बेंगळुरू महालक्ष्मी हत्याकांडात कोणताही जातीय अँगल नाही, येथे सत्य जाणून घ्या",https://newschecker.in/mr/fact-checks-mr/crime-mr/bengaluru-mahalakshmi-murder-fc,mr,Marathi,newschecker_scrape,html_fallback
हरिद्वार येथील अनाथाश्रमात मुलाला अमानुष मारहाण करण्यात आली.,,,"Feb 25, 2025",False,newschecker.in,हरिद्वार येथील अनाथाश्रमात मुलाला मारतानाचा म्हणून व्हायरल व्हिडीओचे हे आहे सत्य,https://newschecker.in/mr/fact-checks-mr/crime-mr/boy-beaten-by-a-teacher-viral-video,mr,Marathi,newschecker_scrape,html_fallback
Claimरायबरेलीमध्ये एका मुस्लिम तरुणाने महाकुंभाच्या बॅनरवर लघवी केली.Factरायबरेली येथील महाकुंभाच्या बॅनरपासून ३-४ फूट अंतरावर लघवी करताना पकडलेला तरुण मुस्लिम नव्हता तर हिंदू होता.,,,"Jan 16, 2025",False,newschecker.in,रायबरेलीमध्ये महाकुंभाच्या बॅनरवर एका मुस्लिम तरुणाने लघवी केली का? व्हायरल दाव्याचे सत्य जाणून घ्या,https://newschecker.in/mr/fact-checks-mr/crime-mr/muslim-man-found-peeing-on-mahakumbh-banner,mr,Marathi,newschecker_scrape,html_fallback
गुंडांना अटक करतानाचा यूपी पोलिसांचा व्हिडिओ.,,,"Feb 24, 2025",False,newschecker.in,महाराष्ट्राच्या पुण्यात घडलेल्या दोन वर्षांपूर्वीच्या घटनेचा व्हिडिओ युपीचा म्हणून व्हायरल,https://newschecker.in/mr/fact-checks-mr/crime-mr/old-video-from-pune-shared-to-be-of-up,mr,Marathi,newschecker_scrape,html_fallback
Claimयूपीच्या संभळमध्ये पोलिसांनी जमावावर लाठीचार्ज केला.Factहा व्हिडिओ 2019 मध्ये गोरखपूरमध्ये CAA विरोधी आंदोलनादरम्यान झालेल्या लाठीचार्जचा आहे.,,,"Nov 25, 2024",False,newschecker.in,गोरखपूरमध्ये सीएए विरोधी आंदोलनादरम्यान झालेल्या लाठीचार्जचा जुना व्हिडिओ संभळ हिंसाचाराशी जोडून व्हायरल,https://newschecker.in/mr/fact-checks-mr/crime-mr/up-sambhal-violence-fact-check,mr,Marathi,newschecker_scrape,html_fallback
Claimबांगलादेशातील इस्कॉनच्या गोशाळेवरील हल्याचा व्हिडीओ.Factव्हिडिओ पंजाबच्या जालंधरमधील जमशेर डेअरी कॉम्प्लेक्समधील आहे.,,,"Dec 10, 2024",False,newschecker.in,"फॅक्ट चेक: व्हायरल व्हिडिओ पंजाबचा आहे, दावा केल्याप्रमाणे बांगलादेशातील इस्कॉनच्या गोशाळेचा नाही",https://newschecker.in/mr/fact-checks-mr/crime-mr/viral-video-is-from-punjab-not-iskcons-farm-in-bangladesh,mr,Marathi,newschecker_scrape,html_fallback
"सप्टेंबर महिन्याची अखेर आणि ऑक्टोबर महिन्याची सुरुवातही अनेक फेक दाव्यांमुळे चर्चेत राहिली. मुंबईत मुस्लिम बांधव मोठ्या संख्येने रस्त्यावर उतरून आपली ताकद दाखवत आहेत, असा दावा करण्यात आला. कर्नाटकातील लव्ह जिहादचे समर्थन करणाऱ्या CMR शॉपिंग मॉलच्या होर्डिंगचे चित्र, असा दावा करण्यात आला. हरियाणातील मेवात येथील काँग्रेसच्या निवडणूक रॅलीचा व्हिडिओ, असा दावा झाला. बेंगळुरू येथील महालक्ष्मी हत्याकांडातील मुख्य आरोपी अश्रफ आहे, असा दावा करण्यात आला. या आणि इतर दाव्यांचे फॅक्टचेक या रिपोर्टमध्ये वाचता येतील.",,,"Oct 5, 2024",,newschecker.in,Weekly Wrap: मुंबईत जमलेली मुस्लिमांची गर्दी ते बंगळूरच्या महालक्ष्मी हत्याकांडापर्यंतच्या दाव्यांचे फॅक्टचेक,https://newschecker.in/mr/fact-checks-mr/crime-mr/weekly-wrap-claims-first-week-october-2024,mr,Marathi,newschecker_scrape,html_fallback
