query,query_lang,claim_text,claimant,claim_date,publisher_name,publisher_site,review_title,review_url,review_date,rating,language
rainfall,,Images of roads blocked due to heavy rainfall on roads between Bhavnagar and Ahmedabad,Many,2016-06-20T00:00:00Z,Alt News,altnews.in,Old images shared as roads blocked in Gujarat due to heavy rainfall,https://www.altnews.in/old-images-shared-as-roads-blocked-in-gujarat-due-to-heavy-rainfall/,2019-07-30T00:00:00Z,False,gu
kidnapping,,"Child abduction gang active in Kutch, Gujarat",Social media,2016-06-20T00:00:00Z,Alt News,altnews.in,Viral video of staged kidnapping now circulates with child abduction ...,https://www.altnews.in/viral-video-of-staged-kidnapping-now-circulates-with-child-abduction-rumour-in-kutch-gujarat/,2018-06-14T00:00:00Z,False,gu
fact check,,"Government monitoring, recording calls to track political and religious content?",WhatsApp,2016-06-20T00:00:00Z,Alt News,altnews.in,Fact-check: Is govt monitoring calls and social media to track ...,https://www.altnews.in/fact-check-is-govt-monitoring-calls-and-social-media-to-track-political-and-religious-content/,2020-04-06T00:00:00Z,False,gu
ગુજરાત,,AAP is promoting namaz and discouraging Hindu prayers in Gujarat,Surajit Dasgupta,2016-06-20T00:00:00Z,Alt News,altnews.in,"Morphed billboard shows AAP promoting namaz, discouraging ...",https://www.altnews.in/morphed-billboard-shows-aap-promoting-namaz-discouraging-hindu-prayers-in-gujarat/,2021-07-12T00:00:00Z,False,gu
ગુજરાત,,BJP workers have started demanding for a better education system in Gujarat,Arvind Kejriwal,2016-06-20T00:00:00Z,Alt News,altnews.in,Arvind Kejriwal falsely claims BJP worker tweeted criticism of Gujarat education system,https://www.altnews.in/arvind-kejriwal-falsely-claims-bjp-worker-tweeted-criticism-of-gujarat-education-system/,2022-04-12T00:00:00Z,False,gu
ગુજરાત,,Photo shows AAP Gujarat billboard saying Gujarat will read Namaz and leave reading Bhagwat Saptah,Renuka Jain,2021-07-13T13:09:06Z,BOOM Fact Check,boomlive.in,"Photo Of AAP Gujarat Billboard Doctored, Given Communal Spin | BOOM",https://www.boomlive.in/fact-check/fake-news-morphed-billboard-photo-isudan-gadhvi-gopal-italia-arvind-kejriwal-factcheck-13877,2021-07-12T13:29:21Z,False,gu
ગુજરાત,,Video shows police brutality in Gujarat.,Social Media Users,2022-12-03T11:13:05Z,BOOM Fact Check,boomlive.in,Video From Bihar Viral As Police Atrocity In Gujarat Ahead Of Modi's Visit | BOOM,https://www.boomlive.in/fact-check/viral-video-police-van-rickshaw-puller-beating-gujarat-claims-social-media-20276,2022-12-03T11:13:05Z,False,gu
ગુજરાત,,Message by ex-employee maligning Gujarat Samachar,Social media,2016-06-20T00:00:00Z,Alt News,altnews.in,Fake message circulated in the name of non-existent ex-employee to malign Gujarat Samachar,https://www.altnews.in/fake-message-circulated-in-the-name-of-ex-employee-to-malign-gujarat-samachar/,2018-06-19T00:00:00Z,False,gu
અમદાવાદ,,Video of a man brutally charged in Ahmedabad's Behrampura area during coronavirus curfew,Social media users,2016-06-20T00:00:00Z,Alt News,altnews.in,Video from Mumbai viral as cops lathicharge deaf-mute man in Ahmedabad’s Behrampura,https://www.altnews.in/video-from-mumbai-viral-as-cops-lathicharge-deaf-mute-man-in-ahmedabads-behrampura/,2020-04-18T00:00:00Z,False,gu
Gujarat,,Gujarati boy loses mental balance after playing PUBG,Social media,2016-06-20T00:00:00Z,Alt News,altnews.in,Unrelated photos shared as boy in Gujarat hospitalized due to ...,https://www.altnews.in/unrelated-photos-shared-as-boy-in-gujarat-hospitalized-due-to-pubg-addiction/,2019-11-13T00:00:00Z,False,gu
