query,query_lang,claim_text,claimant,claim_date,publisher_name,publisher_site,review_title,review_url,review_date,rating,language
जन धन योजना,curated,बीजेपी सरकार ने शुरू की लोगों को 5000 रुपए ऑनलाइन लिंक के जरिए देने की घोषणआ,Facebook,2026-02-09T14:23:58Z,The Quint,thequint.com,केंद्र सरकार की योजना में ₹5000 मिलने का दावा करते वायरल पोस्ट का सच,https://www.thequint.com/hindi/webqoof/fact-check-truth-behind-viral-claim-of-5000-under-jan-dhan-yojana,2026-02-09T14:23:58Z,False,hi
जन धन योजना,curated,जन धन योजना के तहत प्रधानमंत्री नरेंद्र की तरफ से लोगों को 3000 रुपए का गिफ्ट दिया जा रहा है.,"Facebook,Social Media,Twitter",2025-09-17T01:44:18Z,The Quint,thequint.com,पीएम मोदी की तरफ से 3000 रुपए गिफ्ट का दावा करते वायरल पोस्ट का सच,https://www.thequint.com/hindi/webqoof/truth-behind-viral-post-claiming-3000-gift-from-pm-modi,2025-09-17T01:44:18Z,False,hi
जन धन योजना,curated,जन धन योजना के तहत भारत सरकार दे रही है दो हजार रुपये।,FB User JAN DHAN YOJNA,2025-06-26T07:54:38Z,विश्वास न्यूज,vishvasnews.com,"Fact Check: जन धन योजना के नाम से वायरल हुआ फर्जी लिंक, ना करें भरोसा",https://www.vishvasnews.com/financial-fraud/fact-check-jan-dhan-yojana-links-and-message-viral-beware-of-these-scams/,2025-06-26T07:54:38Z,False,hi
जन धन योजना,curated,भारतीय नागरिक के खाते में ₹3999 मुफ्त,फेसबुक यूजर ‘Inaam jeeto 2’,2024-04-05T07:19:09Z,विश्वास न्यूज,vishvasnews.com,Fact Check : सरकारी योजना के नाम पर मुफ्त पैसे बांटने के नाम पर फिशिंग ...,https://www.vishvasnews.com/scam/fact-check-viral-phishing-link-claims-to-offer-users-3999/,2024-04-05T07:19:09Z,False,hi
जन धन योजना,curated,"फेसबुक यूजर ‘Rashmi 7’ ने 21 मार्च 2024 को वायरल लिंक को शेयर करते हुए कैप्शन में लिखा है, ‘जनधन योजना का खास ऑफर अभी लाभ उठाए! .इस होली पर खाताधारकों को 5000 रुपए देगी सरकार।”",Facebook user ‘Rashmi 7’,2024-03-26T08:18:12Z,विश्वास न्यूज,vishvasnews.com,Fact Check : होली पर प्रधानमंत्री जन धन योजना के नाम से पैसे मिलने का ...,https://www.vishvasnews.com/scam/fact-check-claim-of-govt-giving-money-under-prime-minister-jan-dhan-yojana-on-holi-is-fake/,2024-03-26T08:18:12Z,False,hi
जन धन योजना,curated,"'प्रधानमंत्री जन धन योजना' के तहत भारत सरकार की तरफ से हर भारतीय नागरिक को ₹2,000 मुफ्त मिलेंगे.",Facebook Users,2024-01-17T09:17:44Z,Boom Live,hindi.boomlive.in,Fact Check : 'PM Jan Dhan Yojana' 2000 rupee for everyone bank ...,https://hindi.boomlive.in/fact-check/pm-jan-dhan-yojana-2000-rupee-for-everyone-bank-account-by-indian-government-24141,2024-01-17T09:17:44Z,False,hi
जन धन योजना,curated,भारत धन योजना के तहत सभी को ₹2000 तक का लाभ।,फेसबुक यूजर 'बीजेपी जन योजना',2024-01-09T09:15:47Z,विश्वास न्यूज,vishvasnews.com,Fact Check : प्रधानमंत्री जन धन योजना के नाम से दो हजार रुपये मिलने का ...,https://www.vishvasnews.com/scam/fact-check-fake-website-link-viral-in-the-name-of-pradhan-mantri-jan-dhan-yojana/,2024-01-09T09:15:47Z,False,hi
उज्ज्वला योजना,curated,25 मार्च से 1100 रुपये में मिलने वाला सिलेंडर अब 575 रुपये में मिलेगा।,फेसबुक यूजर चेतलाल रविदास,2023-03-27T11:36:04Z,विश्वास न्यूज,vishvasnews.com,Fact Check : LPG की कीमतों को लेकर सोशल मीडिया पर वायरल खबर एडिट ...,https://www.vishvasnews.com/viral/fact-check-newspaper-cutting-going-viral-on-social-media-regarding-cooking-gas-prices-is-edited/,2023-03-27T11:36:04Z,False,hi
फ्री राशन,curated,सभी राशन कार्ड धारकों को मुफ्त मोबाइल देगी सरकार,"Facebook,Twitter,Social Media",2026-07-04T22:56:36Z,The Quint,thequint.com,सभी राशन कार्ड धारकों को मुफ्त मोबाइल मिलने के भ्रामक दावे का सच,https://www.thequint.com/hindi/webqoof/truth-behind-viral-post-claim-mobile-phone-will-be-distributed-too-all-rashan-card-holders,2026-07-04T22:56:36Z,False,hi
फ्री राशन,curated,सीएम योगी ने कहा कि अब फ्री राशन नहीं मिलेगा।,फेसबुक यूजर ललित कुमार,2022-03-23T09:45:43Z,विश्वास न्यूज,vishvasnews.com,Fact Check : फ्री राशन को लेकर योगी आदित्‍यनाथ ने नहीं दिया वायरल बयान,https://www.vishvasnews.com/politics/fact-check-yogi-adityanath-did-not-make-a-viral-statement-regarding-free-rations/,2022-03-23T09:45:43Z,False,hi
