claim_text,claimant,claim_date,review_date,rating,publisher_domain,review_title,review_url,language,language_name,data_source,extraction_method
પશ્ચિમ બંગાળની એક શાળામાં મુસ્લિમો હિન્દુ છોકરીને લવ જેહાદમાં ફસાવવાનો પ્રયાસ કરી રહ્યા હતા.,,,"Aug 1, 2025",False,newschecker.in,બાંગ્લાદેશમાં વિદ્યાર્થિનિ પર હુમલાનો વીડિયો પ.બંગાળમાં લવ જેહાદના કોમી દાવા સાથે વાઇરલ,https://newschecker.in/gu/fact-checks-gu/crime-gu/bangladesh-unrelated-incident-video-falsely-shared-as-west-bengal,gu,Gujarati,newschecker_scrape,html_fallback
"સોશિયલ મીડિયામાં ભારતીય પ્રવાસી જિમિશા અવલાની, જેઓ તાજેતરમાં અમેરિકામાં દુકાનમાં કથિતરૂપે ચોરી કરતા પકડાયા હતા, તેમની ભાજપની ટોપી અને સ્કાર્ફ પહેરેલી તસવીર વાઇરલ થઈ છે. આ ફોટાનો ઉપયોગ એ સૂચવવા માટે કરવામાં આવી રહ્યો છે કે, તે ભાજપની કાર્યકર્તા છે.",,,"Jul 31, 2025",Altered Photo/Video,newschecker.in,ભાજપના પોશાકમાં જિમિશા અવલાનીની વાયરલ તસવીર AI જનરેટેડ,https://newschecker.in/gu/fact-checks-gu/crime-gu/jimisha-avlanis-ai-generated-images-are-viral,gu,Gujarati,newschecker_scrape,html_fallback
"મુળ ભારતીય રહેવાસી આ મહિલા અમેરિકા એક સ્ટાર પર સમાન ચોરી કરી ભગવા જતી હતી પણ પકડાય અને 7 કલાક સુધી સ્ટોર અંદર પેહલા શોપિંગ કરી. અંદાજે 1300 ડોલરની ચીઝ વસ્તુની ચોરી કરી. ભારતીય મુદ્રામાં લગભગ 1,32,000 થાય ટોટલ સમાન કિંમત.",,,"Jul 23, 2025",Partly False,newschecker.in,મેક્સિકોની અન્ય ઘટનાનો વીડિયો યુએસમાં ભારતીય મહિલા ચોરી કરતા પકડાઈ હોવાની ઘટના સાથે જોડીને શેર કરાયો,https://newschecker.in/gu/fact-checks-gu/crime-gu/old-video-from-mexico-falsely-shared-as-indian-womans-shoplifting-arrest-in-usa-fc,gu,Gujarati,newschecker_scrape,html_fallback
"તારક મહેતા કા ઊલ્ટા ચશ્મા સિરિયલમાં ચંપકચાચાનું પાત્ર ભજવતા અમિત ભટ્ટ દ્વારા મરાઠીના કથિત અપમાન બદલ તેમણે મહારાષ્ટ્રમાં રાજ ઠાકરેની મહારાષ્ટ્ર નવનિર્માણ સેનાના કાર્યકર્તા સમક્ષ માફી માગી હોવાનો વીડિયો વાઇરલ થયો હતો. તેને તાજેતરમાં મુંબઈમાં મરાઠી વિરુદ્ધ હિંદી ભાષાના વિવાદ વચ્ચે તાજેતરની ઘટના હોવાના દાવા સાથે વાઇરલ કરવામાં આવ્યો હતો. જોકે, અમારી તપાસમાં તે ઘટના ખરેખર ઘણા વર્ષો જૂની નીકળી અને તેથી વીડિયો ખોટા સંદર્ભ સાથે શેર કરાયો હોવાનું બહાર આવ્યું. ઉપરાંત, અમદાવાદ ઍરપૉર્ટ પર અમદાવાદ-દીવની ફ્લાઇટના ઍન્જિનમાં આગ લાગ્યાની ઘટનાની એક તસવીર શેર કરાઈ હતી. જોકે, તપાસમાં તે એઆઈ એટલે કે આર્ટિફિશ્યલ ઇન્ટલિજન્સ દ્વારા તૈયાર કરાયેલી તસવીર હોવાનું તારણ નીકળ્યું હતું. વાંચો સપ્તાહની ટોપ ફેક્ટ ચેક.",,,"Jul 26, 2025",,newschecker.in,"Weekly Wrap: તારક મહેતા શૉના ‘ચંપકચાચા’ની મરાઠી મુદ્દે માફી, ગુજરાતમાં વિમાનમાં આગની AI તસવીર સહિતની ટોપ ફેક્ટ ચેક",https://newschecker.in/gu/fact-checks-gu/crime-gu/tmkocs-champak-chcha-apologized-for-marathi-insult-video-and-other-ai-claims,gu,Gujarati,newschecker_scrape,html_fallback
અમદાવાદ ઍરપૉર્ટ પર અમદાવાદથી દીવ જઈ રહેલી ફ્લાઇટના ઍન્જિનમાં આગ ફાટ્યાની તસવીર.,,,"Jul 24, 2025",Altered Photo/VIdeo,newschecker.in,શું આ તસવીર અમદાવાદ ઍરપૉર્ટ પર દીવ જતી ફ્લાઇટની ઍન્જિનમાં આગ લાગ્યાની છે?,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/ahmedabad-diu-flight-fire-ai-image,gu,Gujarati,newschecker_scrape,html_fallback
"વર્લ્ડ ચેમ્પિયનશિપ ઑફ લિજેન્ડ્સ (WCL)માં ભારત અને પાકિસ્તાન વચ્ચેની મેચ બંને દેશો વચ્ચેના તણાવને કારણે રદ કરવામાં આવી હતી. તેના બે દિવસ પછી, અભિનેતા અજય દેવગન અને ભૂતપૂર્વ પાકિસ્તાની ક્રિકેટર શાહિદ આફ્રિદી સાથે વાતચીત કરતા હોવાનો દાવો કરતી તસવીર.",,,"Jul 22, 2025",Missing Context,newschecker.in,ભારત-પાક. WCL વિવાદ: અજય દેવગન અને શાહિદ આફ્રિદીની મુલાકાતનો જૂનો ફોટો તાજેતરની મુલાકાત તરીકે શેર કરાયો,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/ajay-devgn-meeting-shahid-afridi-images-shared-with-missing-context,gu,Gujarati,newschecker_scrape,html_fallback
ભારે વરસાદને કારણે મુંબઈ એરપોર્ટ ડૂબી ગયું હોવાનો વીડિયો.,,,"Aug 22, 2025",Misleading,newschecker.in,પૂરગ્રસ્ત ઍરપૉર્ટનો આ વીડિયો ખરેખર મુંબઈનો નથી,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/chennai-airport-waterlogging-video-shared-as-mumbai-airport-video,gu,Gujarati,newschecker_scrape,html_fallback
ધરોલીમાં યુવકોના બચાવનો વાઇરલ વીડિયો.,,,"Aug 12, 2025",False,newschecker.in,હિમાચલમાં પૂરગ્રસ્ત નદીમાંથી યુવકોના બચાવનો જૂનો વીડિયો ઉત્તરાખંડની ધરાલીની ઘટના તરીકે વાઇરલ,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/himachal-video-falsely-shared-as-uttarakhands-dharali-cloudburst-tragedy,gu,Gujarati,newschecker_scrape,html_fallback
“હિન્દી મુંબઈની ભાષા છે”આ વાક્ય પર MNSની તારક મહેતાના ઉલ્ટા ચશ્માના ચંપકચાચાએ માગી માફી હોવાનો વાઇરલ વીડિયો.,,,"Jul 21, 2025",Missing Context,newschecker.in,મરાઠી મામલે તારક મહેતા સિરિયલના ચંપકકાકાનો MNSની માફી માગતો 5 વર્ષ જૂનો વીડિયો તાજી ઘટના તરીકે વાઇરલ,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/marathi-row-old-video-of-tmkocs-amit-bhatts-apology-shared-as-recent,gu,Gujarati,newschecker_scrape,html_fallback
રક્ષાબંધન નિમિત્તે પીએમ મોદીએ ફ્રી રિચાર્જની જાહેરાત કરી હોવાનો દાવો કરતો વીડિયો.,,,"Aug 12, 2025",Altered Photo/Video,newschecker.in,પીએમ મોદીએ ફ્રી રિચાર્જની જાહેરાત કરી હોવાનો વાઇરલ દાવો ખરેખર ખોટો,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/pm-modis-free-recharge-video-is-altered,gu,Gujarati,newschecker_scrape,html_fallback
"ન્યાયાધીશ પણ ન્યાયના હીરો રાહુલના ચાહક નીકળ્યા. લખનૌમાં, જ્યારે ભાજપે તેમને નકલી મુદ્દામાં ફસાવવા બદલ નોટિસ ફટકારી, ત્યારે રાહુલ ગાંધી ન્યાયતંત્રનો આદર કરતા દેખાયા, પછી ન્યાયાધીશે પહેલા સેલ્ફી લીધી.",,,"Jul 18, 2025",False,newschecker.in,શું લખનૌ કોર્ટમાં પેશી દરમિયાન રાહુલ ગાંધી સાથે જજે સેલ્ફી લીધી?,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/rahul-gandhis-selfie-with-lawyer-in-lucknow-court-falsely-shared-as-selfie-with-judge,gu,Gujarati,newschecker_scrape,html_fallback
"રોડ અને ઢોરથી બચવા મોરબીમાં આ રીતે પુલ બનાવાયો જે, ઇમારતરૂપી અવરોધના લીધે અટકી ગયો હોવાનું દર્શાવતો વીડિયો.",,,"Jul 25, 2025",False,newschecker.in,ઉત્તર પ્રદેશના લખનૌનો નિર્માણાધિન પુલનો વીડિયો મોરબીનો પુલ હોવાના દાવા સાથે શેર કરાયો,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/uttar-pradesh-lucknows-under-construction-bridge-video-shared-as-morbis-bridge,gu,Gujarati,newschecker_scrape,html_fallback
7 જુલાઈને સરકાર દ્વારા જાહેર રજા છે. સ્કૂલ-કૉલેજો સહિત તમામ બંધ રહેશે. આરામ માટે સરકારે રજા જાહેર કરી હોવાના વાઇરલ મૅસેજ.,,,"Jul 7, 2025",False,newschecker.in,Fact Check – 7 જુલાઈ જાહેર રજા હોવાના વાઇરલ મૅસેજનું ખરેખર શું છે સત્ય?,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/7th-july-govt-public-holiday-viral-message-is-false,gu,Gujarati,newschecker_scrape,html_fallback
ગંભીરા બ્રિજ તૂટી ગયો એનો વાઇરલ વીડિયો.,,,"Jul 15, 2025",Altered Photo/Video,newschecker.in,"શું આ વીડિયો ગંભીરા બ્રિજ તૂટ્યો એ સમયના દૃશ્યોનાં છે? ના, તે ખરેખર AI જનરેટેડ છે",https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/ai-video-shared-as-vadodara-gambhira-bridge-collapse-visuals,gu,Gujarati,newschecker_scrape,html_fallback
બિહારમાં કોંગ્રેસ દ્વારા વહેંચવામાં આવતા સેનિટરી નેપકિન પર રાહુલ ગાંધીનો ફોટો ચોંટાડવામાં આવ્યાનો વીડિયો.,,,"Jul 9, 2025",False,newschecker.in,બિહારમાં વિતરણ કરાયેલા સેનિટરી નેપકિન પર રાહુલ ગાંધીનો ફોટો? શું છે સત્ય,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/bihar-congress-distributed-sanitary-pads-with-rahul-gandhis-photo-is-false,gu,Gujarati,newschecker_scrape,html_fallback
શનિવારે એજબેસ્ટન સ્ટેડિયમ ખાતે ઇંગ્લેન્ડ સામેની બીજી ટેસ્ટ મેચ દરમિયાન ભારતીય ક્રિકેટ કેપ્ટન શુભમન ગિલના 269 રન અને બીજી ઇનિંગમાં 161 રનની ઇનિંગ બાદ ભૂતપૂર્વ ભારતીય બેટ્સમેન અને ક્રિકેટ મહાન સચિન તેંડુલકર અને તેમની પત્ની અંજલિએ સ્ટેન્ડિંગ ઓવેશન આપ્યું.,,,"Jul 8, 2025",False,newschecker.in,સચીન તેડુંલકરે શુભમન ગીલને સ્ટેન્ડિંગ ઓવેશન આપ્યું? શું છે સત્ય,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/fact-check-sachin-tendulkar-did-not-give-standing-ovation-to-gill,gu,Gujarati,newschecker_scrape,html_fallback
ભાજપી નેતા કાંતિ અમૃતિયાએ વિસાવદરના ધારાસભ્ય ગોપાલ ઇટાલિયાને 2 કરોડની ચેલેન્જ આપ્યા બાદ વિસાવદરની જનતા દ્વારા મોરબી ધારાસભ્ય કાંતિ અમૃતિયાની ટીકા કરયાના વીડિયો.,,,"Jul 14, 2025",Altered Photo/Video,newschecker.in,ગોપાલ ઇટાલિયા અને ભાજપી નેતા કાંતિ અમૃતિયા વચ્ચેની 2 કરોડની ચેલેન્જ મુદ્દે જનતાના ટીકાયુક્ત વીડિયો AI જનરેટેડ,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/gopal-italia-and-bjp-mla-kanti-amrutiya-challenge-peoples-ai-video,gu,Gujarati,newschecker_scrape,html_fallback
"અમેરિકાના રાષ્ટ્રપતિ ડોનાલ્ડ ટ્રમ્પે જાહેરાત કરી છે કે ""કોઈ પણ ઇમિગ્રન્ટ પોતાના દેશમાં પૈસા પાછા મોકલી શકશે નહીં.""",,,"Jul 7, 2025",False,newschecker.in,Fact Check – શું હવે ઇમિગ્રન્ટ્સ અમેરિકાથી ઘરે પૈસા મોકલી નહીં શકે? શું છે સત્ય,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/immigrants-can-not-send-money-to-india-false-claim,gu,Gujarati,newschecker_scrape,html_fallback
ઈરાને મોસાદના જાસૂસને ફાંસી આપ્યાનો વાઇરલ વીડિયો.,,,"Jul 8, 2025",False,newschecker.in,2024ની ફિલ્મના BTS ફૂટેજને ઈરાન દ્વારા મોસાદના જાસૂસોને ફાંસી અપાયાના વીડિયો તરીકે શેર કરાયા,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/iranian-films-bts-shared-as-video-of-execution-of-mossads-spy,gu,Gujarati,newschecker_scrape,html_fallback
પ્રયાગરાજ પોલીસે નગીના સાંસદ અને ભીમ આર્મીના વડા ચંદ્રશેખર આઝાદના સમર્થકોને તોડફોડના આરોપમાં ધરપકડ કર્યા બાદ તેમના માથા મુંડાવીને પરેડ કરાવ્યાનો વીડિયો.,,,"Jul 10, 2025",False,newschecker.in,રાજસ્થાનનો વીડિયો પ્રયાગરાજ પોલીસ દ્વારા ભીમ આર્મીના સમર્થકોના અપમાનના ખોટા દાવા સાથે શેર કરાયો,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/rajasthan-incident-shared-as-police-action-on-bhim-army-supporters,gu,Gujarati,newschecker_scrape,html_fallback
દિલ્હી-મુંબઈ એક્સપ્રેસ હાઈવે પર બનાવવામાં આવેલા વાઈલ્ડલાઈફ ઓવરપાસ કોરિડોરનો ફોટો. દેશનો પહેલો એનિમલ ઓવરપાસ કોરિડોર.,,,"Jul 11, 2025",False,newschecker.in,શું આ ફોટો દિલ્હી-મુંબઈ એક્સપ્રેસ વે પર દેશના પ્રથમ વાઈલ્ડલાઈફ ઓવરપાસ કોરિડોરનો છે?,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/singapore-eco-bridge-shared-as-delhi-mumbai-express-way-wildlife-corridor,gu,Gujarati,newschecker_scrape,html_fallback
લંડનમાં પ્લે ક્રેશના લાઇવ દૃશ્યો હોવાનો દાવો કરતો વાઇરલ વીડિયો.,,,"Jul 16, 2025",Altered Photo/Video,newschecker.in,લંડન પ્લેન ક્રેશની ઘટનાના નામે દક્ષિણ આફ્રિકામાં થયેલા પ્લેન ક્રેશનો વીડિયો વાઇરલ,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/south-africa-plane-crash-video-falsely-shared-as-london-crash-incident,gu,Gujarati,newschecker_scrape,html_fallback
"કેન્દ્ર સરકાર 15 જુલાઈ, 2025થી ટુ વ્હિલર ચાલકો પાસેથી પણ ટોલ ટેક્સ વસુલવાનો નિર્ણય લેવાની તૈયારીમાં.",,,"Jul 10, 2025",False,newschecker.in,હવે ટુ વ્હિલર ચાલકોએ પણ ટોલ ભરવો પડશે? શું છે વાયરલ થઈ રહેલા મેસેજનું સત્ય,https://newschecker.in/gu/fact-checks-gu/fact-checks-gu/two-wheelers-will-have-to-pay-toll-tax-viral-message,gu,Gujarati,newschecker_scrape,html_fallback
