claim_text,claimant,claim_date,review_date,rating,publisher_domain,review_title,review_url,language,language_name,data_source,extraction_method
"सोशल मीडियावर सध्या बँक ऑफ महाराष्ट्रच्या नावाने एक ग्राफिक मोठ्या प्रमाणात व्हायरल होत आहे. या ग्राफिकमध्ये ग्राहकांना आवाहन करण्यात आले आहे की, आरबीआयच्या मार्गदर्शक सूचनांनुसार 1 जुलै 2026 पासून 2005 पूर्वीच्या 10, 20, 50 आणि 100 रुपयांच्या नोटा बँकांच्या शाखांमध्ये स्वीकारल्या जाणार नाहीत. फॅक्ट क्रेसेंडोच्या वाचकांनी हे ग्राफिक आमच्या व्हॉट्सअॅप फॅक्टलाइन क्रमांक (9049053770) वर पाठवून […]",,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,Fact Crescendo Marathi | The leading fact-checking website in India,https://marathi.factcrescendo.com/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,,https://marathi.factcrescendo.com/aboutus/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,संग्रहण,https://marathi.factcrescendo.com/archives/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,Author:Sagar Rawate,https://marathi.factcrescendo.com/author/sagar-rawate/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2023-09-14T19:20:00+05:30,,marathi.factcrescendo.com,Category:आंतरराष्ट्रीय | International,https://marathi.factcrescendo.com/category/%e0%a4%86%e0%a4%82%e0%a4%a4%e0%a4%b0%e0%a4%b0%e0%a4%be%e0%a4%b7%e0%a5%8d%e0%a4%9f%e0%a5%8d%e0%a4%b0%e0%a5%80%e0%a4%af/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2025-04-28T17:26:16+05:30,,marathi.factcrescendo.com,Category:सामाजिक,https://marathi.factcrescendo.com/category/%e0%a4%b8%e0%a4%be%e0%a4%ae%e0%a4%be%e0%a4%9c%e0%a4%bf%e0%a4%95/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-10T17:57:47+05:30,,marathi.factcrescendo.com,Category:False,https://marathi.factcrescendo.com/category/false/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-06-17T15:06:20+05:30,,marathi.factcrescendo.com,Category:राजकीय | Political,https://marathi.factcrescendo.com/category/political/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,Category:Social,https://marathi.factcrescendo.com/category/social/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,सिद्धांतांची संहिता (कोड ऑफ प्रिन्सिपल्स),https://marathi.factcrescendo.com/code-of-principles/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,,https://marathi.factcrescendo.com/contact-us/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,,https://marathi.factcrescendo.com/correction-page/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,सुधारणा आणि सबमिशन करण्याचे धोरण,https://marathi.factcrescendo.com/correction-submission-policy/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,अस्वीकरण (डिस्क्लेमर),https://marathi.factcrescendo.com/disclaimer/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,,https://marathi.factcrescendo.com/factcheck/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,गोपनीयतेचे धोरण,https://marathi.factcrescendo.com/privacy-policy-2/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,Privacy Policy,https://marathi.factcrescendo.com/privacy-policy/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-10T17:57:47+05:30,,marathi.factcrescendo.com,"10, 20, 50 आणि 100 रुपयांच्या जुन्या नोटा बंद होणार? जाणून घ्या सत्य",https://marathi.factcrescendo.com/rbi-is-not-discontinuing-old-10-20-50-and-100-bank-notes-from-july-1/,mr,Marathi,factcrescendo_scrape,html_fallback
Fact Crescendo Marathi | The leading fact-checking website in India,,,2026-07-14T13:23:41+05:30,,marathi.factcrescendo.com,राजस्थानमधील अत्याचारातील आरोपींची पोलिसांनी धिंड काढली का? असंबंधित व्हिडिओ व्हायरल,https://marathi.factcrescendo.com/unrelated-video-falsely-linked-to-rajasthan-minor-rape-case/,mr,Marathi,factcrescendo_scrape,html_fallback
