query,query_lang,claim_text,claimant,claim_date,publisher_name,publisher_site,review_title,review_url,review_date,rating,language
UPSC,,Anjali Birla became an IAS officer without appearing for the UPSC exam.,Republic World,2024-06-30T00:00:00Z,Pudhari,pudhari.news,"Om birla: लोकसभा अध्यक्ष ओम बिर्ला ( om birla) यांची मुलगी अंजली बिर्ला केंद्रीय लोकसेवा आयोगाची ( UPSC) परीक्षा न देताच आयएएस अधिकारी झाल्‍या आहेत, असा दावा करणार्‍या पोस्‍ट सोशल मीडियावर व्‍हायरल होत आहेत.",https://pudhari.news/national/viral-posts-claim-daughter-of-lok-sabha-speaker-om-birla-anjali-birla-became-ias-without-taking-upsc-exam,2024-06-30T00:00:00Z,False,mr
भर्ती,,Maharashtra state banned government recruitment,Rohit Tayde,2019-05-27T00:00:00Z,Fact Crescendo Marathi,marathi.factcrescendo.com,महाराष्ट्र शानसनाने नुकतीच सरकारी नोकर भरतीवर बंदी आणली का? काय आहे सत्य?,https://marathi.factcrescendo.com/old-news-of-ban-on-maharashtra-government-recruitments-is-circulating-with-false-claim/,2019-05-29T00:00:00Z,FALSE,mr
नौकरी,,"पंजाबी गायक आणि बॉलीवूड अभिनेते दिलजीत दोसांझच्या नावाने एका ट्विटचा स्क्रीनशॉट सोशल मीडियावर शेअर केला जात आहे, ज्यामध्ये लिहिले आहे की, “काश किसानों की तरह अगर पढ़े-लिखे लोग भी सड़कों पर आ जाते तो न एयरपोर्ट बिकता, न रेलवे स्टेशन, न नौकरी जाती, न जीडीपी गिरती।”",FB User,2022-01-13T00:00:00Z,विश्वास न्यूज,vishvasnews.com,"Fact Check: Tweet going viral in the name of Diljit Dosanjh is fake. - Fact Check: दिलजीत दोसांझने हे वक्तव्य केले नाही, त्यांच्या नावाने व्हायरल होत असलेले हे ट्विट खोटे आहे",https://www.vishvasnews.com/marathi/viral/fact-check-tweet-going-viral-in-the-name-of-diljit-dosanjh/,2022-01-13T00:00:00Z,FALSE,mr
RBI,,RBI ने ३५० रुपयांची नोट जारी केल्याचा फोटो व्हायरल,Social Media,2025-01-18T13:28:00Z,Maharashtra Times,maharashtratimes.com,Fact Check: RBI ने २०० रुपयांनंतर ३५० रुपयांच्या नोटाही जारी केल्या? व्हायरल फोटोचं सत्य काय?,https://maharashtratimes.com/india-news/fact-check-viral-claim-did-rbi-issue-350-note-know-truth/articleshow/117884158.cms,,False,mr
RBI,,RBI ने केली ५००० रुपयांच्या नोटा जारी करण्याची घोषणा केल्याचा दावा.,facebook User,2024-12-31T00:00:00Z,Lokmat.com,lokmat.com,Fact Check : RBI ने केली ५००० रुपयांच्या नोटा जारी करण्याची घोषणा?; जाणून घ्या नेमकं 'सत्य',https://www.lokmat.com/fact-check/fact-check-no-rbi-has-not-announced-the-release-of-rs-5000-banknotes-a-a597/,2025-01-06T12:41:11Z,चूक,mr
RBI,,RBI not introducing 5000 notes,Social Media,2025-01-06T00:00:00Z,Esakal,esakal.com,"Fact Check: आरबीआय 5000 रुपयांची नोट चलनात आणणार नाही, सोशल मीडियात खोटा दावा व्हायरल",https://www.esakal.com/viral-satya/rbi-not-introducing-5000-note-fake-claims-viral-on-social-media-ymk86,2025-01-06T00:00:00Z,FALSE,mr
RBI,,Indian Government secretly transferred RBI's 200 tonnes of gold overseas,राष्ट्रवादी पुन्ह,2019-05-03T00:00:00Z,Fact Crescendo Marathi,marathi.factcrescendo.com,GOLD FACTS: मोदी सरकारने लपूनछपून 268 टन सोनं परदेशात गहाण ठेवले का?,https://marathi.factcrescendo.com/did-the-indian-government-secretly-transport-200-tonnes-of-gold-form-rbi/,2019-05-04T00:00:00Z,Fact Crescendo Rating - FALSE,mr
RBI,,"आरबीआय वापस घेणार आहे १०० रूपये, १० रुपये आणि ५ रुपयांच्या जुना नोटा",Khidmati Safar,2021-01-29T18:34:30Z,विश्वास न्यूज,vishvasnews.com,"Fact Check: RBI is not taking back the notes of 100, 10 and 5 Rupees, viral post is fake. - Fact Check: आरबीआय नाही वापस घेणार आहे १०० रूपये, १० रुपये आणि ५ रुपयांच्या जुना नोटा, व्हायरल पोस्ट खोटी आहे",https://www.vishvasnews.com/marathi/politics/fact-check-rbi-is-not-taking-100-10-and-5-rupee-notes-back-from-circulation-viral-post-is-fake/,2021-01-29T18:34:30Z,False,mr
WhatsApp,,"1 एप्रिलपासून सरकार गुड मॉर्निंगच्या संदेशांवर कर लावणार आहे. कम्युनिकेशन मंत्रालयाचे मुख्य सचिव लेख पाल यांच्या म्हणण्यानुसार, व्हॉट्सॲप मेसेंजर वापरकर्त्यांनी पाठवलेल्या सर्व गुड मॉर्निंग संदेशांचा हिशोब ठेवेल. अशा संदेशांवर 18 टक्के जीएसटी निश्चित करण्यात आला आहे. हे बिल महिन्याच्या शेवटी मोबाईल बिलासह भरावे लागेल.",social media user,2024-04-01T00:00:00Z,Fact Crescendo Marathi,marathi.factcrescendo.com,एक एप्रिलपासून व्हॉट्सॲपवर गुड मॉर्निग मेसेज शेअर केल्यावर जीएसटी द्यावा लागणार का ? वाचा सत्य,https://marathi.factcrescendo.com/govt-didnt-impose-gst-for-sending-whatsapp-good-morning-messages/,2024-04-01T00:00:00Z,False,mr
WhatsApp,,"Hii, जर कोणाच्या आई किंवा बहिणीने स्वतःचा photo whatsapp वर DP ठेवला असेल तर लगेच तो बदलायला सांगा कारण whatsapp वर ISIS व चीन चे hackers आहेत ज्यांच्याजवळ आपला whatsapp no आणि माहिती आहे. ते लोक आपल्या profile photo चा गैरवापर करून आपले अश्लील photo बनवतात.. Whatsapp च्या CEO नी request केली आहे की काही दिवस स्वतःचा profile photo ठेवू नये. Whatsapp चे engineers आपल्या safety साठी नेहमी आपल्याला co-operate करतील.. हा msg लवकरात लवकर forward करा.. विशेषकरुन तरुण मुलींसाठी.... _____________ Thank You. _____________ A.K. Mittal (IPS) 9849436632 Commissioner Delhi. . Please forward to all your friend ones too..",Sonal Amol Dhanawate,2020-07-04T10:43:29Z,विश्वास न्यूज,vishvasnews.com,Fact-Check: दिल्ली कमिशनरच्या नावावर व्हायरल होत असलेली पोस्ट खोटी आहे - Vishvas News,https://www.vishvasnews.com/marathi/viral/fact-check-message-attributed-to-delhi-police-commissioner-is-fake/,2020-07-04T10:43:29Z,False,mr
Facebook,,स्पष्ट और खरा बोलने वाले नाना पाटेकर ने एक twitte किया है l सोचा आप facebook वालो को भी share कर दिया जाये l,Social Media User,2022-06-27T00:00:00Z,विश्वास न्यूज,vishvasnews.com,Fact Check: Tweet from parody account of Nana Patekar goes viral as real. - Fact Check: नाना पाटेकर च्या नावाने बनलेल्या पेरोडी अकॉउंट चा ट्विट खरा समजून व्हायरल,https://www.vishvasnews.com/marathi/politics/fact-check-tweet-from-nana-patekars-parody-account-goes-viral-as-real/,2022-06-28T00:00:00Z,FALSE,mr
Facebook,,"फेसबुक यूजर “दीपकदीप दीप” ने 21 जुलाई को फेसबुक पर इस फोटो को शेयर किया था। पंजाबी में लिखे कैप्शन के मुताबिक, “मुख्यमंत्री भगवंत मान आजारी आहेत. पोटात संसर्ग झाल्याने त्यांना दिल्लीतील अपोलो रुग्णालयात दाखल करण्यात आले होते. भगवंत मान यांच्यासाठी दोन शब्द लिहा",“दीपकदीप दीप,2022-07-25T08:16:58Z,विश्वास न्यूज,vishvasnews.com,Fact Check: Old image of Bhagwantv Mann admitted to hospital goes viral as recent - Fact Check: दवाखान्यात भरती असलेल्या सीएम भगवंत मान ह्यांचे जुने चित्र आताचे सांगून व्हायरल,https://www.vishvasnews.com/marathi/viral/fact-check-old-image-of-punjab-cm-admitted-to-hospital-goes-viral-as-recent/,2022-07-25T08:16:58Z,Half true,mr
व्हायरल व्हिडिओ,,पंतप्रधान नरेंद्र मोदी यांच्या मेकअपचा व्हिडिओ.,FB User ‘Adv Shubham,2026-06-01T11:28:20Z,विश्वास न्यूज,vishvasnews.com,Fact Check: पंतप्रधान मोदींच्या मेकअपचा जुना व्हिडिओ व्हायरल ...,https://www.vishvasnews.com/marathi/politics/fact-check-old-video-of-pm-modis-makeup-goes-viral-pm-modi-had-given-measurements-for-madame-tussauds-museum/,2026-06-01T11:28:20Z,False,mr
व्हायरल व्हिडिओ,,नोएडातील आंदोलनादरम्यान कामगारांनी कारखान्याला आग लावली.,Inst User report bharat,2026-04-16T11:09:15Z,विश्वास न्यूज,vishvasnews.com,Fact Check: हा व्हिडिओ ठाण्यातील एका रासायनिक कारखान्याला लागलेल्या ...,https://www.vishvasnews.com/marathi/viral/fact-check-this-video-is-of-a-fire-at-a-chemical-factory-in-thane-not-of-a-workers-protest-in-noida/,2026-04-16T11:09:15Z,False,mr
व्हायरल व्हिडिओ,,हा व्हिडिओ इस्रायलचे पंतप्रधान बेंजामिन नेतान्याहू यांच्या विरोधातील आंदोलनाचा आहे.,Insta User- thelivetvnews,2026-03-24T08:57:42Z,विश्वास न्यूज,vishvasnews.com,Fact Check: तेल अवीवमधील नेतान्याहू-विरोधी निदर्शने आणि चेंगराचेंगरीचा ...,https://www.vishvasnews.com/marathi/world/fact-check-viral-video-of-anti-netanyahu-protests-and-stampede-in-tel-aviv-is-from-iran/,2026-03-24T08:57:42Z,False,mr
