phrase,frequency
त्यांनी,23779
करत,20016
यांच्या,19563
मुंबई,17528
त्यांना,17342
किंवा,16960
अशा,15678
त्यांच्या,15297
असं,15163
आपण,14336
मध्ये,13760
यांना,13737
देखील,12852
असेल,12563
पोलीस,12366
असते,12111
मला,11754
करण्यासाठी,11331
दाखल,11002
निर्णय,10933
दरम्यान,10819
देण्यात,10809
दिला,10527
भारतीय,10500
कोरोना,10461
पुन्हा,10375
असल्याचे,10370
सध्या,10306
त्याला,10242
तयार,9853
त्यानंतर,9704
केलं,9676
कारण,9671
प्रयत्न,9590
आम्ही,9486
यावेळी,9266
होतं,9164
राज्य,8915
परंतु,8915
नाहीत,8811
सुरु,8687
जास्त,8621
इतर,8566
जाते,8473
रुपये,8455
असताना,8431
घेतला,8220
मुख्यमंत्री,8163
निर्माण,8162
करू,8096
होईल,8045
च्या,8007
यांची,7906
पोलिसांनी,7886
मागणी,7793
करणे,7792
टक्के,7747
ठाकरे,7702
रोजी,7680
तुम्ही,7665
पूर्ण,7653
असतात,7644
मोठ्या,7638
विविध,7631
जे,7626
पवार,7589
पुढे,7538
सरकारने,7532
ठिकाणी,7532
तेव्हा,7507
बंद,7483
त्यात,7469
चर्चा,7418
असल्याने,7409
प्रश्न,7391
पुणे,7336
सरकार,7300
महाराष्ट्र,7232
घेतली,7225
केलेल्या,7220
दिवस,7186
मदत,7161
विचार,7131
खूप,7072
गेले,7071
करण्याची,6992
नाव,6979
पाणी,6963
केवळ,6940
होऊ,6920
प्रत्येक,6910
असतो,6808
नवीन,6805
मग,6768
समोर,6685
मोदी,6662
मृत्यू,6640
१,6638
त्याने,6635
अध्यक्ष,6512
उत्तर,6511
उपस्थित,6484
काळात,6479
जर,6461
चार,6457
माजी,6389
उपलब्ध,6380
होतो,6346
यासाठी,6310
नेते,6309
केंद्र,6280
येईल,6271
नवी,6270
यांचा,6261
फक्त,6247
त्यांची,6223
राज्यात,6212
करता,6187
पाच,6102
यात,6063
म्हटले,6060
अधिकारी,6047
जिल्हा,6037
वेळ,5988
महिला,5971
विशेष,5957
जाहीर,5957
दिल्ली,5955
करण्याचा,5953
आमदार,5923
यांचे,5922
शक्यता,5894
स्पष्ट,5866
२,5839
लोक,5830
मोठा,5825
दोन्ही,5825
पंतप्रधान,5780
सोशल,5778
करा,5770
आरोप,5758
आवश्यक,5721
बाहेर,5717
करणार,5709
करताना,5698
माझ्या,5679
वापर,5666
तुम्हाला,5659
यामुळे,5654
संख्या,5652
आर्थिक,5626
त्यांचे,5588
मंत्री,5581
पाहिजे,5561
ज्या,5558
प्रमाणात,5556
राजकीय,5542
घटना,5525
सर्वात,5524
राज्यातील,5505
शकते,5493
नये,5490
आपल्याला,5473
आलं,5449
सुरुवात,5438
भूमिका,5435
आरोग्य,5383
देत,5378
रुग्ण,5376
करतात,5346
भाजप,5326
घेत,5319
आलेल्या,5307
लक्ष,5255
कारवाई,5246
काँग्रेस,5235
शकतो,5224
संपूर्ण,5181
करुन,5175
दिसत,5148
आणखी,5145
मुख्य,5114
एकूण,5092
वर,5065
योग्य,5045
तिच्या,5003
करीत,4994
लक्षात,4991
कधी,4977
त्यांचा,4920
याबाबत,4903
अटक,4872
गेली,4840
भारत,4835
३,4828
तिला,4826
मराठी,4819
मोठी,4815
सकाळी,4811
वेळी,4791
